min,Intensity
1.82666667,2106788.000000
1.83000000,2014934.000000
1.83333333,1918857.000000
1.83666667,1821104.000000
1.84000000,1725023.000000
1.84333333,1632006.000000
1.84666667,1544861.000000
1.85000000,1463607.000000
1.85333333,1389241.000000
1.85666667,1321145.000000
1.86000000,1259065.000000
1.86333333,1202292.000000
1.86666667,1150466.000000
1.87000000,1102779.000000
1.87333333,1059573.000000
1.87666667,1020223.000000
1.88000000,984490.000000
1.88333333,951945.000000
1.88666667,922657.000000
1.89000000,896209.000000
1.89333333,872347.000000
1.89666667,850850.000000
1.90000000,831254.000000
1.90333333,813063.000000
1.90666667,795910.000000
1.91000000,779498.000000
1.91333333,763430.000000
1.91666667,747463.000000
1.92000000,731549.000000
1.92333333,715507.000000
1.92666667,699154.000000
1.93000000,682511.000000
1.93333333,665616.000000
1.93666667,648583.000000
1.94000000,631237.000000
1.94333333,613729.000000
1.94666667,596241.000000
1.95000000,578786.000000
1.95333333,561463.000000
1.95666667,544348.000000
1.96000000,527433.000000
1.96333333,510837.000000
1.96666667,494606.000000
1.97000000,478825.000000
1.97333333,463407.000000
1.97666667,448439.000000
1.98000000,434002.000000
1.98333333,420111.000000
1.98666667,406750.000000
1.99000000,393829.000000
1.99333333,381475.000000
1.99666667,369658.000000
2.00000000,358266.000000
2.00333333,347301.000000
2.00666667,336669.000000
2.01000000,326386.000000
2.01333333,316406.000000
2.01666667,306707.000000
2.02000000,297238.000000
2.02333333,288000.000000
2.02666667,279011.000000
2.03000000,270274.000000
2.03333333,261757.000000
2.03666667,253433.000000
2.04000000,245325.000000
2.04333333,237455.000000
2.04666667,229815.000000
2.05000000,222416.000000
2.05333333,215274.000000
2.05666667,208407.000000
2.06000000,201845.000000
2.06333333,195563.000000
2.06666667,189626.000000
2.07000000,183974.000000
2.07333333,178621.000000
2.07666667,173538.000000
2.08000000,168739.000000
2.08333333,164192.000000
2.08666667,159872.000000
2.09000000,155813.000000
2.09333333,151916.000000
2.09666667,148259.000000
2.10000000,144762.000000
2.10333333,141434.000000
2.10666667,138229.000000
2.11000000,135131.000000
2.11333333,132107.000000
2.11666667,129146.000000
2.12000000,126213.000000
2.12333333,123295.000000
2.12666667,120417.000000
2.13000000,117542.000000
2.13333333,114664.000000
2.13666667,111743.000000
2.14000000,108802.000000
2.14333333,105816.000000
2.14666667,102833.000000
2.15000000,99795.000000
2.15333333,96739.000000
2.15666667,93643.000000
2.16000000,90551.000000
2.16333333,87483.000000
2.16666667,84466.000000
2.17000000,81533.000000
2.17333333,78658.000000
2.17666667,75896.000000
2.18000000,73222.000000
2.18333333,70679.000000
2.18666667,68245.000000
2.19000000,65959.000000
2.19333333,63783.000000
2.19666667,61735.000000
2.20000000,59814.000000
2.20333333,57998.000000
2.20666667,56313.000000
2.21000000,54740.000000
2.21333333,53262.000000
2.21666667,51854.000000
2.22000000,50525.000000
2.22333333,49271.000000
2.22666667,48110.000000
2.23000000,47043.000000
2.23333333,46095.000000
2.23666667,45287.000000
2.24000000,44650.000000
2.24333333,44241.000000
2.24666667,44102.000000
2.25000000,44235.000000
2.25333333,44649.000000
2.25666667,45330.000000
2.26000000,46203.000000
2.26333333,47272.000000
2.26666667,48470.000000
2.27000000,49725.000000
2.27333333,50984.000000
2.27666667,52170.000000
2.28000000,53295.000000
2.28333333,54362.000000
2.28666667,55370.000000
2.29000000,56295.000000
2.29333333,57093.000000
2.29666667,57670.000000
2.30000000,58013.000000
2.30333333,58069.000000
2.30666667,57790.000000
2.31000000,57192.000000
2.31333333,56309.000000
2.31666667,55165.000000
2.32000000,53808.000000
2.32333333,52314.000000
2.32666667,50728.000000
2.33000000,49136.000000
2.33333333,47511.000000
2.33666667,45839.000000
2.34000000,44097.000000
2.34333333,42287.000000
2.34666667,40432.000000
2.35000000,38563.000000
2.35333333,36682.000000
2.35666667,34804.000000
2.36000000,32970.000000
2.36333333,31199.000000
2.36666667,29517.000000
2.37000000,27915.000000
2.37333333,26415.000000
2.37666667,25024.000000
2.38000000,23737.000000
2.38333333,22545.000000
2.38666667,21442.000000
2.39000000,20432.000000
2.39333333,19528.000000
2.39666667,18714.000000
2.40000000,17985.000000
2.40333333,17344.000000
2.40666667,16792.000000
2.41000000,16309.000000
2.41333333,15906.000000
2.41666667,15582.000000
2.42000000,15295.000000
2.42333333,15075.000000
2.42666667,14907.000000
2.43000000,14792.000000
2.43333333,14709.000000
2.43666667,14631.000000
