min,Intensity
1.24666667,867.000000
1.25000000,853.000000
1.25333333,853.000000
1.25666667,865.000000
1.26000000,867.000000
1.26333333,871.000000
1.26666667,863.000000
1.27000000,856.000000
1.27333333,857.000000
1.27666667,860.000000
1.28000000,862.000000
1.28333333,869.000000
1.28666667,876.000000
1.29000000,883.000000
1.29333333,880.000000
1.29666667,873.000000
1.30000000,873.000000
1.30333333,879.000000
1.30666667,881.000000
1.31000000,886.000000
1.31333333,895.000000
1.31666667,898.000000
1.32000000,909.000000
1.32333333,913.000000
1.32666667,924.000000
1.33000000,923.000000
1.33333333,918.000000
1.33666667,924.000000
1.34000000,910.000000
1.34333333,897.000000
1.34666667,902.000000
1.35000000,908.000000
1.35333333,916.000000
1.35666667,915.000000
1.36000000,925.000000
1.36333333,926.000000
1.36666667,917.000000
1.37000000,922.000000
1.37333333,922.000000
1.37666667,927.000000
1.38000000,922.000000
1.38333333,926.000000
1.38666667,935.000000
1.39000000,933.000000
1.39333333,933.000000
1.39666667,944.000000
1.40000000,942.000000
1.40333333,944.000000
1.40666667,944.000000
1.41000000,950.000000
1.41333333,949.000000
1.41666667,953.000000
1.42000000,964.000000
1.42333333,954.000000
1.42666667,948.000000
1.43000000,940.000000
1.43333333,938.000000
1.43666667,924.000000
1.44000000,929.000000
1.44333333,927.000000
1.44666667,939.000000
1.45000000,935.000000
1.45333333,933.000000
1.45666667,940.000000
1.46000000,945.000000
1.46333333,940.000000
1.46666667,949.000000
1.47000000,957.000000
1.47333333,956.000000
1.47666667,970.000000
1.48000000,982.000000
1.48333333,998.000000
1.48666667,1013.000000
1.49000000,1034.000000
1.49333333,1030.000000
1.49666667,1045.000000
1.50000000,1059.000000
1.50333333,1073.000000
1.50666667,1087.000000
1.51000000,1085.000000
1.51333333,1101.000000
1.51666667,1121.000000
1.52000000,1126.000000
1.52333333,1135.000000
1.52666667,1159.000000
1.53000000,1180.000000
1.53333333,1223.000000
1.53666667,1254.000000
1.54000000,1286.000000
1.54333333,1328.000000
1.54666667,1376.000000
1.55000000,1414.000000
1.55333333,1466.000000
1.55666667,1524.000000
1.56000000,1582.000000
1.56333333,1637.000000
1.56666667,1687.000000
1.57000000,1740.000000
1.57333333,1795.000000
1.57666667,1839.000000
1.58000000,1884.000000
1.58333333,1905.000000
1.58666667,1916.000000
1.59000000,1943.000000
1.59333333,1960.000000
1.59666667,1963.000000
1.60000000,1954.000000
1.60333333,1951.000000
1.60666667,1922.000000
1.61000000,1904.000000
1.61333333,1875.000000
1.61666667,1856.000000
1.62000000,1823.000000
1.62333333,1780.000000
1.62666667,1746.000000
1.63000000,1708.000000
1.63333333,1663.000000
1.63666667,1639.000000
1.64000000,1610.000000
1.64333333,1570.000000
1.64666667,1525.000000
1.65000000,1497.000000
1.65333333,1482.000000
1.65666667,1455.000000
1.66000000,1429.000000
1.66333333,1386.000000
1.66666667,1365.000000
1.67000000,1354.000000
1.67333333,1355.000000
1.67666667,1360.000000
1.68000000,1377.000000
1.68333333,1412.000000
1.68666667,1471.000000
1.69000000,1550.000000
1.69333333,1644.000000
1.69666667,1774.000000
1.70000000,1972.000000
1.70333333,2199.000000
1.70666667,2475.000000
1.71000000,2793.000000
1.71333333,3172.000000
1.71666667,3619.000000
1.72000000,4098.000000
1.72333333,4626.000000
1.72666667,5225.000000
1.73000000,5910.000000
1.73333333,6668.000000
1.73666667,7539.000000
1.74000000,8552.000000
1.74333333,9702.000000
1.74666667,11028.000000
1.75000000,12503.000000
1.75333333,14151.000000
1.75666667,16016.000000
1.76000000,18078.000000
1.76333333,20363.000000
1.76666667,22893.000000
1.77000000,25692.000000
1.77333333,28794.000000
1.77666667,32184.000000
1.78000000,35819.000000
1.78333333,39644.000000
1.78666667,43595.000000
1.79000000,47548.000000
1.79333333,51372.000000
1.79666667,54957.000000
1.80000000,58163.000000
1.80333333,60925.000000
1.80666667,63127.000000
1.81000000,64669.000000
1.81333333,65541.000000
1.81666667,65703.000000
1.82000000,65116.000000
1.82333333,63773.000000
1.82666667,61705.000000
1.83000000,58951.000000
1.83333333,55594.000000
1.83666667,51708.000000
1.84000000,47400.000000
1.84333333,42813.000000
1.84666667,38058.000000
1.85000000,33286.000000
1.85333333,28622.000000
1.85666667,24168.000000
1.86000000,19977.000000
1.86333333,16141.000000
1.86666667,12659.000000
1.87000000,9564.000000
1.87333333,6843.000000
1.87666667,4497.000000
1.88000000,2503.000000
1.88333333,824.000000
1.88666667,-561.000000
1.89000000,-1661.000000
1.89333333,-2502.000000
1.89666667,-3121.000000
1.90000000,-3543.000000
1.90333333,-3803.000000
1.90666667,-3928.000000
1.91000000,-3964.000000
1.91333333,-3915.000000
1.91666667,-3816.000000
1.92000000,-3667.000000
1.92333333,-3501.000000
1.92666667,-3314.000000
1.93000000,-3118.000000
1.93333333,-2931.000000
1.93666667,-2764.000000
1.94000000,-2608.000000
1.94333333,-2477.000000
1.94666667,-2377.000000
1.95000000,-2299.000000
1.95333333,-2228.000000
1.95666667,-2156.000000
1.96000000,-2101.000000
1.96333333,-2053.000000
1.96666667,-2001.000000
1.97000000,-1958.000000
1.97333333,-1907.000000
1.97666667,-1839.000000
1.98000000,-1755.000000
1.98333333,-1665.000000
1.98666667,-1552.000000
1.99000000,-1400.000000
1.99333333,-1217.000000
1.99666667,-1015.000000
2.00000000,-775.000000
2.00333333,-513.000000
2.00666667,-213.000000
2.01000000,92.000000
2.01333333,415.000000
2.01666667,776.000000
2.02000000,1135.000000
2.02333333,1509.000000
2.02666667,1878.000000
2.03000000,2226.000000
2.03333333,2547.000000
2.03666667,2845.000000
2.04000000,3102.000000
2.04333333,3328.000000
2.04666667,3513.000000
2.05000000,3668.000000
2.05333333,3775.000000
2.05666667,3854.000000
2.06000000,3878.000000
2.06333333,3882.000000
2.06666667,3846.000000
2.07000000,3755.000000
2.07333333,3656.000000
2.07666667,3518.000000
2.08000000,3352.000000
2.08333333,3177.000000
2.08666667,3010.000000
2.09000000,2825.000000
2.09333333,2634.000000
2.09666667,2437.000000
2.10000000,2234.000000
2.10333333,2036.000000
2.10666667,1841.000000
2.11000000,1631.000000
2.11333333,1421.000000
2.11666667,1210.000000
2.12000000,1023.000000
2.12333333,841.000000
2.12666667,648.000000
2.13000000,478.000000
2.13333333,309.000000
2.13666667,162.000000
2.14000000,3.000000
2.14333333,-102.000000
2.14666667,-192.000000
2.15000000,-278.000000
2.15333333,-343.000000
2.15666667,-377.000000
2.16000000,-387.000000
2.16333333,-358.000000
2.16666667,-301.000000
2.17000000,-249.000000
2.17333333,-194.000000
2.17666667,-118.000000
2.18000000,0.000000
2.18333333,106.000000
2.18666667,235.000000
2.19000000,371.000000
2.19333333,534.000000
2.19666667,687.000000
2.20000000,882.000000
2.20333333,1105.000000
2.20666667,1339.000000
2.21000000,1569.000000
2.21333333,1808.000000
2.21666667,2065.000000
2.22000000,2335.000000
2.22333333,2636.000000
2.22666667,2971.000000
2.23000000,3318.000000
2.23333333,3668.000000
2.23666667,4079.000000
2.24000000,4528.000000
2.24333333,5044.000000
2.24666667,5640.000000
2.25000000,6388.000000
2.25333333,7340.000000
2.25666667,8520.000000
2.26000000,9957.000000
2.26333333,11661.000000
2.26666667,13617.000000
2.27000000,15756.000000
2.27333333,18064.000000
2.27666667,20475.000000
2.28000000,22940.000000
2.28333333,25468.000000
2.28666667,28035.000000
2.29000000,30617.000000
2.29333333,33182.000000
2.29666667,35673.000000
2.30000000,38056.000000
2.30333333,40201.000000
2.30666667,41990.000000
2.31000000,43383.000000
2.31333333,44348.000000
2.31666667,44824.000000
2.32000000,44813.000000
2.32333333,44396.000000
2.32666667,43615.000000
2.33000000,42492.000000
2.33333333,41103.000000
2.33666667,39451.000000
2.34000000,37565.000000
2.34333333,35470.000000
2.34666667,33220.000000
2.35000000,30858.000000
2.35333333,28393.000000
2.35666667,25903.000000
2.36000000,23435.000000
2.36333333,21035.000000
2.36666667,18716.000000
2.37000000,16541.000000
2.37333333,14507.000000
2.37666667,12628.000000
2.38000000,10877.000000
2.38333333,9318.000000
2.38666667,7907.000000
2.39000000,6689.000000
2.39333333,5619.000000
2.39666667,4688.000000
2.40000000,3896.000000
2.40333333,3235.000000
2.40666667,2705.000000
2.41000000,2269.000000
2.41333333,1933.000000
2.41666667,1666.000000
2.42000000,1472.000000
2.42333333,1325.000000
2.42666667,1237.000000
2.43000000,1180.000000
2.43333333,1155.000000
2.43666667,1152.000000
2.44000000,1179.000000
2.44333333,1197.000000
2.44666667,1230.000000
2.45000000,1283.000000
2.45333333,1324.000000
2.45666667,1356.000000
2.46000000,1372.000000
2.46333333,1415.000000
2.46666667,1445.000000
2.47000000,1473.000000
2.47333333,1485.000000
2.47666667,1513.000000
2.48000000,1518.000000
2.48333333,1514.000000
2.48666667,1523.000000
2.49000000,1522.000000
2.49333333,1515.000000
